OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
isrnaha121119A	69	lcisrnaha121119A.MP4	2295	rcisrnaha121119A.MP4	2212	18.38920	Time seabed	12.87926	3.11287	-210.75068	-1121.12713	0.38059	0.42626	1.28597	2.44150	1140.76798	11.23371	Siganidae	Siganus	rivulatus	4545	1	AD	Passing			
isrnaha121119A	72	lcisrnaha121119A.MP4	18695	rcisrnaha121119A.MP4	18612	22.94932	Time seabed	17.43937	-1118.69202	508.86723	-4412.91186	4.93972	2.73782	18.77413	1.31056	4580.85241	15.32874	Holocentridae	Sargocentron	rubrum	6625	7	AD	Passing			
isrnaha121119A	78	lcisrnaha121119A.MP4	27946	rcisrnaha121119A.MP4	27863	25.52161	Time seabed	20.01166	53.92364	-457.14682	-1438.35498	0.47784	0.77740	2.08823	0.80125	1510.21721	18.32865	Sparidae	Diplodus	vulgaris	1754	1	AD	Passing			
isrnaha141119A	0	lbisrnaha141119A.MP4	7678	rbisrnaha141119A.MP4	13118	11.01044	Time seabed	4.33211	-170.19170	-283.95169	-1179.86900	0.45037	0.49727	1.41899	1.44594	1225.43243	16.17882	Gobiidae	Gobius	bucchichi	46334	4	AD	Passing			
isrnaha141119A	18	lcisrnaha141119A.MP4	30851	rdisrnaha141119A.MP4	4371	26.32936	Time seabed	19.65102	18.29269	-247.14976	-1132.25326	0.38300	0.45276	1.31263	0.80626	1159.05784	12.93094	Labridae	Coris	julis	58	4	AD	Passing			
isrnaha141119A	29	ldisrnaha141119A.MP4	18129	rdisrnaha141119A.MP4	23569	31.66747	Time seabed	24.98913	19.88328	-242.01666	-1136.55587	0.38417	0.45103	1.32195	0.57707	1162.20767	12.64474	Labridae	Xyrichtys	novacula	4581	5	AD	Passing			
isrnaha141119A	37	lgisrnaha141119A.MP4	5956	rgisrnaha141119A.MP4	11396	54.90930	Time seabed	48.23096	499.84694	324.58962	-2960.78887	1.58881	1.39198	8.58081	1.28976	3020.17816	11.07268	Siganidae	Siganus	rivulatus	4545	3	AD	Passing			
isrnaha280722A	4	lGOPR4971.MP4	20535	rGOPR8493.MP4	19785	5.70987	Time seabed	0.25915	-767.16032	-344.55223	-1559.56544	1.20613	0.72012	2.51332	0.12954	1771.86217	28.50046	Labridae	Coris	julis	58	2	AD	Passing			
isrnaha280722A	5	lGOPR4971.MP4	27015	rGOPR8493.MP4	26265	7.51167	Time seabed	2.06095	-111.89731	-388.39249	-1440.10144	0.48141	0.68637	2.02906	0.07986	1495.74794	16.06029	Gobiidae	Gobius	bucchichi	46334	1	AD	Passing			
isrnaha280722B	5	lGP013349.MP4	28383	rGP013705.MP4	29183	16.76758	Time seabed	11.77843	-991.02399	-517.68306	-1711.18236	1.74301	1.05832	3.04237	14.33004	2044.08154	33.30928	Holocentridae	Sargocentron	rubrum	6625	1	AD	Passing			
isrnaha280722B	6	lGP033349.MP4	16990	rGP033705.MP4	17790	31.35076	Time seabed	26.36161	-164.96147	-154.24729	-1088.72216	0.38331	0.37603	1.18355	0.91098	1111.89948	11.93897	Muraenidae	Gymnothorax	unicolor	1730	1	AD	Passing			
isrnaha280722B	23	lGP063349.MP4	10139	rGP063705.MP4	10939	56.07241	Time seabed	51.08325	1685.96708	1068.34867	-4630.57987	7.43924	5.07264	20.73667	1.32058	5042.43234	23.14883	Pomacentridae	Chromis	chromis	1706	3	AD	Passing			
isrnaha280722B	27	lGP063349.MP4	25249	rGP063705.MP4	26049	60.27382	Time seabed	55.28467	-1157.97945	1044.62164	-5578.22016	6.16436	5.87442	29.22751	1.22848	5792.12318	15.40803	Siganidae	Siganus	luridus	4613	2	AD	Passing			
isrnaha280722B	28	lGP063349.MP4	26620	rGP063705.MP4	27420	60.65504	Time seabed	55.66589	-1004.47991	199.58140	-1897.65326	1.92123	0.72294	3.69442	0.12022	2156.36280	28.29410	Serranidae	Epinephelus	marginatus	6470	1	AD	Passing			
isrnaha280722B	31	lGP063349.MP4	31372	rGP073705.MP4	252	61.97636	Time seabed	56.98721	-514.96125	109.32349	-1277.99549	0.70712	0.42832	1.65593	0.69929	1382.17553	22.32386	Labridae	Thalassoma	pavo	2500	1	AD	Passing			
isrnaha280722B	35	lGP083349.MP4	6957	rGP083705.MP4	7757	72.93870	Time extra	7.73495	294.00963	87.04313	-1108.17016	0.44984	0.36537	1.25058	0.05884	1149.80837	15.37894	Tetraodontidae	Lagocephalus	sceleratus	4761	1	AD	Passing			
isrnaha280722C	47	lGP064972.MP4	16084	rGP068494.MP4	17236	57.72545	Time seabed	53.33968	518.59194	-123.11761	-2303.15095	1.27854	0.74719	5.06835	1.12401	2364.02196	13.12775	Sparidae	Boops	boops	203	157	AD	Passing			
isrnaha280722D	30	lGOPR3350.MP4	30991	rGP013706.MP4	835	8.61722	Time seabed	3.63975	232.01190	791.89137	-4333.16692	1.60725	3.53320	17.47224	11.45888	4411.03809	10.47650	Sparidae	Boops	boops	203	296	AD	Passing			
isrnaha280722E	1	lGP024973.MP4	13617	rGP028495.MP4	14714	21.53735	Time seabed	14.45138	13.25126	-123.22076	-475.28532	0.17647	0.17040	0.25431	0.28390	491.17725	15.01004	Nemipteridae	Nemipterus	randalli	5852	1	AD	Passing			
isrnaha280722F	0	lGP073351.MP4	7088	rGP073707.MP4	8539	64.09959	Time seabed	55.22406	115.87024	-24.13100	-2304.70213	0.75220	0.70933	5.01022	0.10775	2307.73918	3.02091	Sparidae	Dentex	maroccanus	4538	2	AD	Passing	2		
isrnaha280722G	3	lGP014974.MP4	29269	rGP018496.MP4	30480	17.01394	Time seabed	10.41568	-1231.95836	-477.83747	-2126.81599	2.53154	1.18524	4.61668	1.19556	2503.87626	31.99826	Nemipteridae	Nemipterus	randalli	5852	1	AD	Passing			
